ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),LIGHT (lux),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),PROXIMITY (i),ATMOSPHERIC PRESSURE (hPa),SOUND LEVEL (dB),LOCATION Latitude : ,LOCATION Longitude : ,LOCATION Altitude ( m),LOCATION Altitude-google ( m),LOCATION Altitude-atmospheric pressure ( m),LOCATION Speed ( Kmh),LOCATION Accuracy ( m),LOCATION ORIENTATION (°),Satellites in range,Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
-1.3639,3.4983,9.6861,-2.3243,5.1107,8.0404,3.7214,-3.9586,-0.4085,2.2437,1.1787,0.7942,17.0,-20.29,-22.17,-5.34,134.92,-20.8,13.97,3.1,1004.01,49.847,35.77219,-78.67836,80.39,NaN,,1.3,83.19032,42.8,7 / 21,11,2018-03-09 17:31:05:395
0.2513,3.1035,7.8389,-1.1289,6.3962,7.3474,1.5121,-2.4901,-0.2843,2.0116,-1.9109,-0.4431,20.0,-13.26,-24.48,0.55,153.11,-20.03,15.95,3.1,1004.01,52.204,35.77227,-78.67845,247.47,NaN,,1.3,29.361288,42.8,10 / 21,512,2018-03-09 17:31:05:896
-0.2943,7.7743,7.7121,0.9928,7.7016,5.9892,0.1317,-0.1955,-0.0677,0.1989,-0.4867,-1.2382,10.0,-7.06,-2.97,-35.16,18.69,-53.58,-14.76,3.1,1004.05,65.604,35.77227,-78.67845,247.47,NaN,,1.3,29.361288,42.8,10 / 21,1011,2018-03-09 17:31:06:395
-3.2136,12.0359,3.9362,-0.0701,9.1958,3.4064,-1.7599,2.0515,0.0818,0.8539,-0.9463,0.2051,9.0,-34.98,-15.29,-28.98,59.1,-69.67,1.18,3.1,1004.07,45.521,35.772366,-78.67854,333.48,NaN,,1.8,48.935486,42.8,12 / 21,1511,2018-03-09 17:31:06:895
-2.3402,9.3751,-0.4977,0.1633,9.3956,2.8047,0.6876,-1.4211,5.364,1.5326,-2.0499,-0.395,4.0,-24.18,-9.87,3.93,106.18,-68.11,-1.17,3.1,1003.97,44.471,35.772366,-78.67854,333.48,NaN,,1.8,48.935486,42.8,12 / 21,2012,2018-03-09 17:31:07:396
2.2277,8.8511,-1.0792,0.3378,9.7753,0.7071,1.2898,-0.6389,-1.8827,-0.9837,-0.0025,0.3841,0.0,-25.66,-15.39,6.27,273.73,-86.6,172.65,0.0,1004.03,44.191,35.7723,-78.67842,233.26,NaN,,6.23,53.829033,181.3,13 / 21,2511,2018-03-09 17:31:07:895
-0.804,7.7408,5.6686,-0.2406,8.9644,3.969,-1.239,-1.5566,1.4272,-1.3352,0.5182,0.3739,5.0,-30.35,-12.92,1.13,107.98,-73.84,9.93,3.1,1004.11,53.6,35.7723,-78.67842,233.26,NaN,,6.23,53.829033,181.3,13 / 21,3012,2018-03-09 17:31:08:396
-2.5675,4.3956,5.7284,-3.4633,6.4674,6.5075,1.2712,-1.5039,-1.4952,1.2889,-0.1003,0.6205,19.0,-6.22,-18.36,1.99,163.63,-35.5,19.73,3.1,1004.02,37.547,35.77234,-78.67848,235.97,NaN,,2.12,44.041935,181.3,14 / 21,3511,2018-03-09 17:31:08:895
-2.0578,6.8291,6.5827,-2.3548,7.704,5.5923,-0.2531,-1.4343,0.4204,1.0989,-0.1296,0.1192,38.0,-0.51,-16.72,8.21,185.13,-43.72,18.53,3.1,1004.0,39.175,35.77234,-78.67848,235.97,NaN,,2.12,44.041935,181.3,14 / 21,4012,2018-03-09 17:31:09:396
-5.3336,3.7854,5.0441,-5.8906,4.3915,6.495,-0.9007,-1.7004,-1.0528,-1.9648,1.1418,-1.023,15.0,5.17,-16.99,10.58,209.74,-36.83,31.96,3.1,1003.96,43.732,35.772327,-78.678566,188.04,NaN,,0.9,53.829033,181.3,14 / 21,4511,2018-03-09 17:31:09:895
-5.3671,5.4437,1.8808,-7.8177,2.8675,5.1798,2.1712,0.7168,-2.2694,0.0769,0.7666,0.3729,16.0,14.26,-26.34,-11.99,178.41,-14.26,51.18,3.1,1004.0,58.523,35.772327,-78.678566,188.04,NaN,,0.9,53.829033,181.3,14 / 21,5012,2018-03-09 17:31:10:396
-8.9827,0.3541,4.812,-8.4955,0.0623,4.8982,-0.197,0.2218,0.167,-0.4527,-0.3672,0.0458,20.0,15.69,-25.48,-31.38,140.56,-1.37,62.28,0.0,1003.98,63.369,35.77227,-78.67851,338.43,NaN,,2.92,39.148384,152.4,14 / 21,5511,2018-03-09 17:31:10:895
-8.595,0.067,5.5729,-8.3756,-0.1197,5.0995,-0.0738,0.1859,0.1441,0.002,0.0032,4.0E-4,9.0,12.43,-23.23,-38.4,131.71,0.77,58.74,0.0,1003.97,52.239,35.77227,-78.67851,338.43,NaN,,2.92,39.148384,152.4,14 / 21,6011,2018-03-09 17:31:11:395
-8.9013,0.1149,5.001,-8.6001,-0.0313,4.7126,-0.0836,0.1173,0.1609,0.0052,-7.0E-4,-4.0E-4,8.0,14.44,-23.16,-38.19,130.98,0.21,61.3,0.0,1003.98,47.076,35.772335,-78.67849,261.57,NaN,,1.37,29.361288,152.4,14 / 21,6511,2018-03-09 17:31:11:895
-8.8893,0.0981,5.0584,-8.5772,0.0406,4.754,-0.0032,0.0412,0.0312,-2.0E-4,0.0012,4.0E-4,18.0,14.07,-24.02,-38.2,132.09,-0.16,61.06,3.1,1003.99,40.488,35.772335,-78.67849,261.57,NaN,,1.37,29.361288,152.4,14 / 21,7015,2018-03-09 17:31:12:399
-8.9276,0.1053,5.0656,-8.5654,0.0716,4.7749,-0.0329,0.0242,0.084,-2.0E-4,5.0E-4,4.0E-4,18.0,14.93,-23.64,-37.65,132.55,-0.38,60.92,3.1,1004.0,39.718,35.77244,-78.67846,222.44,NaN,,1.08,39.148384,152.4,14 / 21,7512,2018-03-09 17:31:12:896
-8.9133,0.1196,5.0465,-8.5644,0.0806,4.7766,0.0139,0.0133,-0.0363,2.0E-4,5.0E-4,2.0E-4,17.0,14.3,-23.71,-37.81,132.02,-0.45,60.86,3.1,1003.99,45.926,35.77244,-78.67846,222.44,NaN,,1.08,39.148384,152.4,14 / 21,8011,2018-03-09 17:31:13:395
-8.942,0.1316,5.0991,-8.5638,0.0826,4.7775,0.0366,-0.0134,-0.05,6.0E-4,0.0036,2.0E-4,6.0,14.3,-23.89,-38.17,132.01,-0.49,60.82,0.0,1003.99,49.321,35.77249,-78.67847,185.73,NaN,,0.0,39.148384,,14 / 21,8511,2018-03-09 17:31:13:895
-8.8152,0.0766,4.9316,-8.5626,0.0859,4.7797,-0.0069,0.0134,-0.0025,-2.0E-4,0.0012,4.0E-4,9.0,14.31,-23.43,-38.36,130.79,-0.48,60.83,0.0,1003.99,48.82,35.77249,-78.67847,185.73,NaN,,0.0,39.148384,,14 / 21,9011,2018-03-09 17:31:14:395
-8.7673,0.0766,4.7809,-8.5617,0.0864,4.7813,-0.005,0.0072,0.0127,4.0E-4,7.0E-4,4.0E-4,5.0,13.95,-23.6,-38.18,132.0,-0.49,60.84,0.0,1003.98,48.37,35.772465,-78.67861,261.33,NaN,,0.97,68.509674,152.4,14 / 21,9511,2018-03-09 17:31:14:895
-8.8295,0.0502,4.8072,-8.5615,0.0848,4.7816,-0.0134,0.0137,0.0465,-2.0E-4,5.0E-4,2.0E-4,13.0,13.91,-23.57,-38.18,132.0,-0.48,60.84,3.1,1003.99,49.034,35.772465,-78.67861,261.33,NaN,,0.97,68.509674,152.4,14 / 21,10013,2018-03-09 17:31:15:397
-8.8989,0.0861,5.0321,-8.5609,0.0865,4.7827,-0.0246,0.0016,0.0501,0.0,7.0E-4,0.0,18.0,13.96,-24.37,-38.35,132.0,-0.5,60.83,3.1,1003.98,48.637,35.772465,-78.67861,261.33,NaN,,0.97,68.509674,152.4,14 / 21,10512,2018-03-09 17:31:15:896
-8.8917,0.122,5.0369,-8.561,0.0837,4.7826,-0.0109,5.0E-4,0.0189,-1.0E-4,2.0E-4,-3.0E-4,18.0,13.93,-24.09,-38.5,132.02,-0.48,60.82,3.1,1003.98,49.487,35.772465,-78.67861,261.33,NaN,,0.97,68.509674,152.4,14 / 21,11011,2018-03-09 17:31:16:395
-8.9396,0.0885,5.0919,-8.5586,0.0828,4.7868,-0.0257,0.0038,0.068,1.0E-4,4.0E-4,-5.0E-4,18.0,13.64,-23.48,-37.56,130.79,-0.49,60.81,3.1,1003.98,50.801,35.772415,-78.67864,194.76,NaN,,0.0,48.935486,,14 / 21,11512,2018-03-09 17:31:16:896
-8.9324,0.0766,5.0154,-8.5606,0.0796,4.7834,-0.0263,-0.0208,0.03,5.0E-4,0.0,-3.0E-4,18.0,14.35,-23.84,-37.85,132.03,-0.48,60.8,3.1,1003.99,53.502,35.772415,-78.67864,194.76,NaN,,0.0,48.935486,,14 / 21,12011,2018-03-09 17:31:17:395
-8.9228,0.1484,5.0465,-8.5579,0.0803,4.7881,-0.0201,0.0143,0.0495,-5.0E-4,0.0,5.0E-4,18.0,13.97,-23.77,-37.81,132.05,-0.47,60.77,3.1,1003.99,51.077,35.772396,-78.67867,165.41,NaN,,0.0,44.041935,,12 / 21,12512,2018-03-09 17:31:17:896
